Model,MDO3024
Firmware Version,1.30

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.001
Horizontal Delay,-0.0016
Sample Interval,1e-05
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Vertical Position,-0.02
,
,
,
Label,
TIME,CH2
-6.60e-03,-0.009
-6.59e-03,0.001
-6.58e-03,0.013
-6.57e-03,-0.005
-6.56e-03,0.005
-6.55e-03,0.001
-6.54e-03,0.003
-6.53e-03,0.011
-6.52e-03,0.005
-6.51e-03,0.003
-6.50e-03,-0.003
-6.49e-03,-0.003
-6.48e-03,-0.001
-6.47e-03,0.007
-6.46e-03,-0.005
-6.45e-03,0.001
-6.44e-03,-0.001
-6.43e-03,0.001
-6.42e-03,-0.001
-6.41e-03,0.011
-6.40e-03,-0.001
-6.39e-03,0.019
-6.38e-03,0.005
-6.37e-03,0.005
-6.36e-03,0.009
-6.35e-03,-0.011
-6.34e-03,0.025
-6.33e-03,-0.015
-6.32e-03,-0.009
-6.31e-03,0.011
-6.30e-03,0.019
-6.29e-03,-0.007
-6.28e-03,-0.007
-6.27e-03,0.017
-6.26e-03,-0.013
-6.25e-03,0.019
-6.24e-03,0.013
-6.23e-03,0.003
-6.22e-03,-0.003
-6.21e-03,-0.003
-6.20e-03,0.005
-6.19e-03,0.003
-6.18e-03,0.013
-6.17e-03,-0.007
-6.16e-03,0.009
-6.15e-03,-0.013
-6.14e-03,0.011
-6.13e-03,-0.001
-6.12e-03,0.017
-6.11e-03,0.007
-6.10e-03,-0.005
-6.09e-03,-0.001
-6.08e-03,0.015
-6.07e-03,-0.005
-6.06e-03,0.001
-6.05e-03,-0.013
-6.04e-03,0.005
-6.03e-03,-0.009
-6.02e-03,0.009
-6.01e-03,0.021
-6.00e-03,0.003
-5.99e-03,-0.003
-5.98e-03,0.013
-5.97e-03,-0.009
-5.96e-03,-0.001
-5.95e-03,-0.001
-5.94e-03,0.011
-5.93e-03,0.003
-5.92e-03,-0.001
-5.91e-03,0.025
-5.90e-03,-0.005
-5.89e-03,-0.017
-5.88e-03,0.005
-5.87e-03,-0.005
-5.86e-03,0.005
-5.85e-03,-0.009
-5.84e-03,0.005
-5.83e-03,-0.007
-5.82e-03,0.013
-5.81e-03,-0.005
-5.80e-03,-0.011
-5.79e-03,0.005
-5.78e-03,-0.009
-5.77e-03,0.003
-5.76e-03,-0.005
-5.75e-03,-0.003
-5.74e-03,0.013
-5.73e-03,0.003
-5.72e-03,-0.013
-5.71e-03,0.003
-5.70e-03,-0.005
-5.69e-03,0.021
-5.68e-03,-0.003
-5.67e-03,-0.003
-5.66e-03,0.009
-5.65e-03,0.001
-5.64e-03,-0.005
-5.63e-03,0.003
-5.62e-03,0.019
-5.61e-03,0.011
-5.60e-03,-0.001
-5.59e-03,0.005
-5.58e-03,0.003
-5.57e-03,0.005
-5.56e-03,-0.021
-5.55e-03,0.001
-5.54e-03,0.015
-5.53e-03,0.005
-5.52e-03,0.001
-5.51e-03,0.001
-5.50e-03,0.005
-5.49e-03,-0.001
-5.48e-03,0.001
-5.47e-03,-0.003
-5.46e-03,0.011
-5.45e-03,0.001
-5.44e-03,-0.005
-5.43e-03,0.001
-5.42e-03,-0.001
-5.41e-03,-0.015
-5.40e-03,0.011
-5.39e-03,0.005
-5.38e-03,0.007
-5.37e-03,0.003
-5.36e-03,-0.005
-5.35e-03,0.009
-5.34e-03,-0.009
-5.33e-03,-0.013
-5.32e-03,-0.019
-5.31e-03,0.005
-5.30e-03,-0.001
-5.29e-03,-0.009
-5.28e-03,-0.001
-5.27e-03,0.013
-5.26e-03,-0.001
-5.25e-03,-0.017
-5.24e-03,0.003
-5.23e-03,-0.003
-5.22e-03,-0.013
-5.21e-03,0.001
-5.20e-03,-0.013
-5.19e-03,-0.021
-5.18e-03,0.007
-5.17e-03,0.011
-5.16e-03,-0.005
-5.15e-03,-0.001
-5.14e-03,-0.013
-5.13e-03,-0.007
-5.12e-03,0.001
-5.11e-03,0.023
-5.10e-03,0.007
-5.09e-03,-0.005
-5.08e-03,-0.013
-5.07e-03,0.001
-5.06e-03,0.001
-5.05e-03,-0.013
-5.04e-03,-0.017
-5.03e-03,-0.005
-5.02e-03,0.009
-5.01e-03,0.011
-5.00e-03,-0.003
-4.99e-03,-0.003
-4.98e-03,-0.003
-4.97e-03,0.023
-4.96e-03,0.017
-4.95e-03,-0.009
-4.94e-03,0.005
-4.93e-03,0.011
-4.92e-03,-0.015
-4.91e-03,-0.013
-4.90e-03,0.021
-4.89e-03,0.003
-4.88e-03,-0.001
-4.87e-03,0.009
-4.86e-03,0.009
-4.85e-03,0.001
-4.84e-03,-0.001
-4.83e-03,0.011
-4.82e-03,0.003
-4.81e-03,0.011
-4.80e-03,-0.005
-4.79e-03,0.001
-4.78e-03,0.003
-4.77e-03,-0.003
-4.76e-03,0.011
-4.75e-03,0.003
-4.74e-03,0.003
-4.73e-03,0.001
-4.72e-03,-0.003
-4.71e-03,-0.003
-4.70e-03,-0.007
-4.69e-03,0.013
-4.68e-03,-0.013
-4.67e-03,0.009
-4.66e-03,0.013
-4.65e-03,-0.011
-4.64e-03,-0.001
-4.63e-03,0.007
-4.62e-03,0.001
-4.61e-03,0.003
-4.60e-03,-0.005
-4.59e-03,-0.009
-4.58e-03,0.005
-4.57e-03,-0.005
-4.56e-03,-0.001
-4.55e-03,0.015
-4.54e-03,0.001
-4.53e-03,0.007
-4.52e-03,0.001
-4.51e-03,0.011
-4.50e-03,0.013
-4.49e-03,0.007
-4.48e-03,0.001
-4.47e-03,0.007
-4.46e-03,0.001
-4.45e-03,-0.007
-4.44e-03,-0.005
-4.43e-03,0.015
-4.42e-03,0.007
-4.41e-03,-0.003
-4.40e-03,0.009
-4.39e-03,0.005
-4.38e-03,-0.017
-4.37e-03,0.007
-4.36e-03,0.007
-4.35e-03,0.007
-4.34e-03,0.001
-4.33e-03,0.013
-4.32e-03,-0.005
-4.31e-03,-0.005
-4.30e-03,0.003
-4.29e-03,0.003
-4.28e-03,-0.015
-4.27e-03,0.005
-4.26e-03,0.007
-4.25e-03,-0.003
-4.24e-03,0.011
-4.23e-03,-0.009
-4.22e-03,0.015
-4.21e-03,-0.005
-4.20e-03,0.017
-4.19e-03,-0.001
-4.18e-03,0.009
-4.17e-03,0.003
-4.16e-03,-0.011
-4.15e-03,-0.005
-4.14e-03,0.005
-4.13e-03,0.001
-4.12e-03,0.017
-4.11e-03,0.003
-4.10e-03,-0.001
-4.09e-03,0.009
-4.08e-03,0.007
-4.07e-03,-0.005
-4.06e-03,-0.005
-4.05e-03,-0.011
-4.04e-03,-0.001
-4.03e-03,0.011
-4.02e-03,-0.001
-4.01e-03,-0.005
-4.00e-03,0.011
-3.99e-03,0.013
-3.98e-03,-0.011
-3.97e-03,0.009
-3.96e-03,0.007
-3.95e-03,0.017
-3.94e-03,-0.009
-3.93e-03,0.013
-3.92e-03,0.001
-3.91e-03,0.003
-3.90e-03,-0.001
-3.89e-03,0.001
-3.88e-03,0.009
-3.87e-03,0.011
-3.86e-03,0.021
-3.85e-03,0.013
-3.84e-03,0.001
-3.83e-03,0.005
-3.82e-03,-0.001
-3.81e-03,0.007
-3.80e-03,0.001
-3.79e-03,0.011
-3.78e-03,0.013
-3.77e-03,0.015
-3.76e-03,-0.009
-3.75e-03,0.021
-3.74e-03,0.001
-3.73e-03,0.005
-3.72e-03,-0.011
-3.71e-03,-0.005
-3.70e-03,-0.005
-3.69e-03,0.005
-3.68e-03,0.001
-3.67e-03,0.011
-3.66e-03,0.015
-3.65e-03,0.001
-3.64e-03,-0.003
-3.63e-03,-0.003
-3.62e-03,-0.007
-3.61e-03,-0.001
-3.60e-03,-0.001
-3.59e-03,0.017
-3.58e-03,-0.001
-3.57e-03,-0.009
-3.56e-03,0.005
-3.55e-03,0.007
-3.54e-03,0.001
-3.53e-03,0.001
-3.52e-03,0.017
-3.51e-03,-0.001
-3.50e-03,0.009
-3.49e-03,0.015
-3.48e-03,0.013
-3.47e-03,0.009
-3.46e-03,-0.005
-3.45e-03,-0.001
-3.44e-03,-0.001
-3.43e-03,0.001
-3.42e-03,-0.005
-3.41e-03,0.021
-3.40e-03,0.013
-3.39e-03,0.001
-3.38e-03,-0.001
-3.37e-03,0.017
-3.36e-03,-0.011
-3.35e-03,0.013
-3.34e-03,-0.003
-3.33e-03,0.009
-3.32e-03,0.001
-3.31e-03,0.003
-3.30e-03,0.003
-3.29e-03,0.005
-3.28e-03,0.005
-3.27e-03,-0.003
-3.26e-03,0.001
-3.25e-03,0.009
-3.24e-03,0.001
-3.23e-03,-0.001
-3.22e-03,0.005
-3.21e-03,0.015
-3.20e-03,0.001
-3.19e-03,0.015
-3.18e-03,0.011
-3.17e-03,-0.009
-3.16e-03,-0.001
-3.15e-03,0.009
-3.14e-03,-0.001
-3.13e-03,-0.007
-3.12e-03,-0.001
-3.11e-03,0.011
-3.10e-03,-0.013
-3.09e-03,0.013
-3.08e-03,0.011
-3.07e-03,-0.023
-3.06e-03,0.007
-3.05e-03,-0.015
-3.04e-03,0.007
-3.03e-03,-0.001
-3.02e-03,0.001
-3.01e-03,0.003
-3.00e-03,0.003
-2.99e-03,0.009
-2.98e-03,0.003
-2.97e-03,-0.003
-2.96e-03,0.003
-2.95e-03,0.013
-2.94e-03,-0.005
-2.93e-03,-0.015
-2.92e-03,0.013
-2.91e-03,0.013
-2.90e-03,0.001
-2.89e-03,-0.001
-2.88e-03,-0.023
-2.87e-03,-0.003
-2.86e-03,-0.003
-2.85e-03,-0.011
-2.84e-03,0.005
-2.83e-03,-0.011
-2.82e-03,0.019
-2.81e-03,0.001
-2.80e-03,0.015
-2.79e-03,0.001
-2.78e-03,-0.005
-2.77e-03,0.001
-2.76e-03,-0.015
-2.75e-03,0.005
-2.74e-03,0.007
-2.73e-03,-0.011
-2.72e-03,-0.003
-2.71e-03,0.013
-2.70e-03,0.001
-2.69e-03,-0.005
-2.68e-03,-0.007
-2.67e-03,0.001
-2.66e-03,0.003
-2.65e-03,-0.011
-2.64e-03,-0.005
-2.63e-03,-0.015
-2.62e-03,-0.003
-2.61e-03,0.013
-2.60e-03,0.015
-2.59e-03,-0.005
-2.58e-03,0.013
-2.57e-03,0.001
-2.56e-03,0.005
-2.55e-03,0.009
-2.54e-03,-0.009
-2.53e-03,0.013
-2.52e-03,-0.005
-2.51e-03,0.011
-2.50e-03,-0.003
-2.49e-03,0.013
-2.48e-03,0.005
-2.47e-03,-0.009
-2.46e-03,0.001
-2.45e-03,-0.015
-2.44e-03,-0.001
-2.43e-03,-0.001
-2.42e-03,0.015
-2.41e-03,0.015
-2.40e-03,0.009
-2.39e-03,0.015
-2.38e-03,0.013
-2.37e-03,0.013
-2.36e-03,0.001
-2.35e-03,-0.003
-2.34e-03,0.001
-2.33e-03,0.009
-2.32e-03,-0.011
-2.31e-03,0.009
-2.30e-03,0.013
-2.29e-03,0.003
-2.28e-03,-0.015
-2.27e-03,0.005
-2.26e-03,0.003
-2.25e-03,0.019
-2.24e-03,0.009
-2.23e-03,0.001
-2.22e-03,-0.005
-2.21e-03,0.019
-2.20e-03,-0.005
-2.19e-03,-0.013
-2.18e-03,0.019
-2.17e-03,0.007
-2.16e-03,-0.013
-2.15e-03,0.015
-2.14e-03,0.003
-2.13e-03,0.001
-2.12e-03,0.005
-2.11e-03,0.015
-2.10e-03,-0.009
-2.09e-03,0.009
-2.08e-03,-0.011
-2.07e-03,-0.001
-2.06e-03,0.003
-2.05e-03,-0.011
-2.04e-03,0.011
-2.03e-03,0.025
-2.02e-03,0.015
-2.01e-03,-0.011
-2.00e-03,0.003
-1.99e-03,-0.009
-1.98e-03,0.017
-1.97e-03,0.001
-1.96e-03,0.011
-1.95e-03,0.017
-1.94e-03,0.013
-1.93e-03,0.007
-1.92e-03,0.001
-1.91e-03,-0.005
-1.90e-03,0.007
-1.89e-03,-0.001
-1.88e-03,0.015
-1.87e-03,0.013
-1.86e-03,-0.001
-1.85e-03,-0.003
-1.84e-03,0.003
-1.83e-03,0.021
-1.82e-03,0.005
-1.81e-03,0.003
-1.80e-03,0.001
-1.79e-03,-0.013
-1.78e-03,0.007
-1.77e-03,0.003
-1.76e-03,-0.005
-1.75e-03,-0.007
-1.74e-03,-0.001
-1.73e-03,0.015
-1.72e-03,0.017
-1.71e-03,0.001
-1.70e-03,0.005
-1.69e-03,-0.003
-1.68e-03,-0.007
-1.67e-03,0.001
-1.66e-03,-0.009
-1.65e-03,0.005
-1.64e-03,-0.011
-1.63e-03,0.021
-1.62e-03,0.001
-1.61e-03,0.011
-1.60e-03,0.001
-1.59e-03,0.009
-1.58e-03,-0.009
-1.57e-03,-0.007
-1.56e-03,0.005
-1.55e-03,-0.007
-1.54e-03,-0.011
-1.53e-03,-0.013
-1.52e-03,0.005
-1.51e-03,0.005
-1.50e-03,0.011
-1.49e-03,0.017
-1.48e-03,-0.001
-1.47e-03,0.009
-1.46e-03,0.007
-1.45e-03,-0.005
-1.44e-03,0.011
-1.43e-03,0.001
-1.42e-03,-0.009
-1.41e-03,-0.009
-1.40e-03,-0.013
-1.39e-03,-0.005
-1.38e-03,0.019
-1.37e-03,0.017
-1.36e-03,-0.007
-1.35e-03,0.005
-1.34e-03,-0.013
-1.33e-03,0.015
-1.32e-03,0.001
-1.31e-03,0.011
-1.30e-03,0.001
-1.29e-03,0.019
-1.28e-03,0.007
-1.27e-03,-0.007
-1.26e-03,0.005
-1.25e-03,0.009
-1.24e-03,0.015
-1.23e-03,0.009
-1.22e-03,0.001
-1.21e-03,0.007
-1.20e-03,0.011
-1.19e-03,0.011
-1.18e-03,-0.009
-1.17e-03,0.003
-1.16e-03,-0.011
-1.15e-03,0.011
-1.14e-03,-0.005
-1.13e-03,0.011
-1.12e-03,0.019
-1.11e-03,0.001
-1.10e-03,0.013
-1.09e-03,0.013
-1.08e-03,0.001
-1.07e-03,-0.003
-1.06e-03,-0.001
-1.05e-03,-0.001
-1.04e-03,0.013
-1.03e-03,0.013
-1.02e-03,-0.007
-1.01e-03,0.001
-1.00e-03,0.021
-9.90e-04,0.001
-9.80e-04,0.007
-9.70e-04,0.017
-9.60e-04,0.015
-9.50e-04,-0.013
-9.40e-04,0.015
-9.30e-04,-0.007
-9.20e-04,0.005
-9.10e-04,-0.001
-9.00e-04,-0.003
-8.90e-04,-0.011
-8.80e-04,0.003
-8.70e-04,0.009
-8.60e-04,0.007
-8.50e-04,-0.001
-8.40e-04,0.011
-8.30e-04,0.021
-8.20e-04,0.005
-8.10e-04,-0.001
-8.00e-04,-0.003
-7.90e-04,-0.005
-7.80e-04,-0.001
-7.70e-04,0.011
-7.60e-04,-0.007
-7.50e-04,0.005
-7.40e-04,0.013
-7.30e-04,-0.005
-7.20e-04,-0.011
-7.10e-04,0.005
-7.00e-04,0.005
-6.90e-04,0.011
-6.80e-04,0.007
-6.70e-04,0.011
-6.60e-04,0.019
-6.50e-04,-0.003
-6.40e-04,0.007
-6.30e-04,-0.007
-6.20e-04,0.009
-6.10e-04,0.015
-6.00e-04,-0.003
-5.90e-04,0.009
-5.80e-04,-0.013
-5.70e-04,0.023
-5.60e-04,-0.001
-5.50e-04,-0.009
-5.40e-04,0.001
-5.30e-04,0.001
-5.20e-04,0.001
-5.10e-04,0.001
-5.00e-04,0.011
-4.90e-04,-0.009
-4.80e-04,0.011
-4.70e-04,0.001
-4.60e-04,0.013
-4.50e-04,0.003
-4.40e-04,0.013
-4.30e-04,0.015
-4.20e-04,0.011
-4.10e-04,0.011
-4.00e-04,-0.003
-3.90e-04,-0.001
-3.80e-04,0.013
-3.70e-04,-0.005
-3.60e-04,0.011
-3.50e-04,0.001
-3.40e-04,-0.003
-3.30e-04,0.001
-3.20e-04,0.003
-3.10e-04,-0.005
-3.00e-04,-0.013
-2.90e-04,-0.005
-2.80e-04,0.003
-2.70e-04,-0.009
-2.60e-04,-0.003
-2.50e-04,-0.013
