Model,MDO3024
Firmware Version,1.30

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.001
Horizontal Delay,-0.0016
Sample Interval,1e-05
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Vertical Position,-0.02
,
,
,
Label,
TIME,CH2
-6.60e-03,-0.05
-6.59e-03,-0.11
-6.58e-03,-0.07
-6.57e-03,-0.27
-6.56e-03,-0.15
-6.55e-03,-0.05
-6.54e-03,-0.07
-6.53e-03,-0.05
-6.52e-03,0.01
-6.51e-03,-0.03
-6.50e-03,-0.05
-6.49e-03,-0.13
-6.48e-03,-0.01
-6.47e-03,-0.13
-6.46e-03,-0.03
-6.45e-03,-0.21
-6.44e-03,-0.13
-6.43e-03,-0.15
-6.42e-03,-0.01
-6.41e-03,0.09
-6.40e-03,-0.01
-6.39e-03,-0.11
-6.38e-03,-0.13
-6.37e-03,0.07
-6.36e-03,0.05
-6.35e-03,0.01
-6.34e-03,0.01
-6.33e-03,0.07
-6.32e-03,0.13
-6.31e-03,0.05
-6.30e-03,0.07
-6.29e-03,0.07
-6.28e-03,0.11
-6.27e-03,0.01
-6.26e-03,0.05
-6.25e-03,0.25
-6.24e-03,0.21
-6.23e-03,0.11
-6.22e-03,0.25
-6.21e-03,0.07
-6.20e-03,0.35
-6.19e-03,0.31
-6.18e-03,0.23
-6.17e-03,0.17
-6.16e-03,0.19
-6.15e-03,0.39
-6.14e-03,0.33
-6.13e-03,0.37
-6.12e-03,0.29
-6.11e-03,0.19
-6.10e-03,0.29
-6.09e-03,0.21
-6.08e-03,0.35
-6.07e-03,0.43
-6.06e-03,0.37
-6.05e-03,0.35
-6.04e-03,0.39
-6.03e-03,0.37
-6.02e-03,0.39
-6.01e-03,0.49
-6.00e-03,0.29
-5.99e-03,0.41
-5.98e-03,0.43
-5.97e-03,0.41
-5.96e-03,0.45
-5.95e-03,0.51
-5.94e-03,0.47
-5.93e-03,0.37
-5.92e-03,0.35
-5.91e-03,0.55
-5.90e-03,0.57
-5.89e-03,0.47
-5.88e-03,0.43
-5.87e-03,0.53
-5.86e-03,0.59
-5.85e-03,0.65
-5.84e-03,0.65
-5.83e-03,0.63
-5.82e-03,0.63
-5.81e-03,0.61
-5.80e-03,0.71
-5.79e-03,0.53
-5.78e-03,0.49
-5.77e-03,0.57
-5.76e-03,0.59
-5.75e-03,0.57
-5.74e-03,0.53
-5.73e-03,0.55
-5.72e-03,0.75
-5.71e-03,0.59
-5.70e-03,0.67
-5.69e-03,0.65
-5.68e-03,0.63
-5.67e-03,0.63
-5.66e-03,0.57
-5.65e-03,0.67
-5.64e-03,0.75
-5.63e-03,0.55
-5.62e-03,0.75
-5.61e-03,0.71
-5.60e-03,0.69
-5.59e-03,0.69
-5.58e-03,0.71
-5.57e-03,0.65
-5.56e-03,0.69
-5.55e-03,0.67
-5.54e-03,0.71
-5.53e-03,0.59
-5.52e-03,0.71
-5.51e-03,0.57
-5.50e-03,0.61
-5.49e-03,0.61
-5.48e-03,0.69
-5.47e-03,0.65
-5.46e-03,0.65
-5.45e-03,0.69
-5.44e-03,0.67
-5.43e-03,0.59
-5.42e-03,0.59
-5.41e-03,0.71
-5.40e-03,0.79
-5.39e-03,0.65
-5.38e-03,0.77
-5.37e-03,0.67
-5.36e-03,0.73
-5.35e-03,0.77
-5.34e-03,0.65
-5.33e-03,0.79
-5.32e-03,0.73
-5.31e-03,0.69
-5.30e-03,0.69
-5.29e-03,0.55
-5.28e-03,0.57
-5.27e-03,0.71
-5.26e-03,0.57
-5.25e-03,0.59
-5.24e-03,0.63
-5.23e-03,0.77
-5.22e-03,0.63
-5.21e-03,0.69
-5.20e-03,0.73
-5.19e-03,0.61
-5.18e-03,0.63
-5.17e-03,0.63
-5.16e-03,0.55
-5.15e-03,0.61
-5.14e-03,0.53
-5.13e-03,0.63
-5.12e-03,0.65
-5.11e-03,0.57
-5.10e-03,0.59
-5.09e-03,0.71
-5.08e-03,0.53
-5.07e-03,0.67
-5.06e-03,0.61
-5.05e-03,0.49
-5.04e-03,0.63
-5.03e-03,0.53
-5.02e-03,0.69
-5.01e-03,0.59
-5.00e-03,0.55
-4.99e-03,0.51
-4.98e-03,0.53
-4.97e-03,0.49
-4.96e-03,0.43
-4.95e-03,0.47
-4.94e-03,0.47
-4.93e-03,0.49
-4.92e-03,0.45
-4.91e-03,0.57
-4.90e-03,0.43
-4.89e-03,0.51
-4.88e-03,0.39
-4.87e-03,0.53
-4.86e-03,0.49
-4.85e-03,0.41
-4.84e-03,0.37
-4.83e-03,0.29
-4.82e-03,0.35
-4.81e-03,0.35
-4.80e-03,0.27
-4.79e-03,0.35
-4.78e-03,0.39
-4.77e-03,0.31
-4.76e-03,0.35
-4.75e-03,0.27
-4.74e-03,0.31
-4.73e-03,0.29
-4.72e-03,0.27
-4.71e-03,0.19
-4.70e-03,0.23
-4.69e-03,0.13
-4.68e-03,0.23
-4.67e-03,0.27
-4.66e-03,0.15
-4.65e-03,0.27
-4.64e-03,0.21
-4.63e-03,0.15
-4.62e-03,0.13
-4.61e-03,0.21
-4.60e-03,0.09
-4.59e-03,0.01
-4.58e-03,-0.03
-4.57e-03,-0.03
-4.56e-03,0.03
-4.55e-03,0.03
-4.54e-03,0.13
-4.53e-03,0.05
-4.52e-03,0.05
-4.51e-03,0.11
-4.50e-03,-0.05
-4.49e-03,-0.09
-4.48e-03,0.05
-4.47e-03,-0.09
-4.46e-03,-0.03
-4.45e-03,0.01
-4.44e-03,-0.09
-4.43e-03,-0.01
-4.42e-03,0.03
-4.41e-03,0.07
-4.40e-03,-0.13
-4.39e-03,0.07
-4.38e-03,-0.11
-4.37e-03,-0.07
-4.36e-03,-0.25
-4.35e-03,-0.05
-4.34e-03,-0.15
-4.33e-03,-0.01
-4.32e-03,-0.11
-4.31e-03,-0.11
-4.30e-03,-0.21
-4.29e-03,-0.21
-4.28e-03,-0.09
-4.27e-03,-0.21
-4.26e-03,-0.09
-4.25e-03,-0.23
-4.24e-03,-0.33
-4.23e-03,-0.13
-4.22e-03,-0.09
-4.21e-03,-0.21
-4.20e-03,-0.17
-4.19e-03,-0.29
-4.18e-03,-0.19
-4.17e-03,-0.15
-4.16e-03,-0.15
-4.15e-03,-0.27
-4.14e-03,-0.19
-4.13e-03,-0.31
-4.12e-03,-0.29
-4.11e-03,-0.19
-4.10e-03,-0.21
-4.09e-03,-0.27
-4.08e-03,-0.31
-4.07e-03,-0.21
-4.06e-03,-0.33
-4.05e-03,-0.23
-4.04e-03,-0.37
-4.03e-03,-0.27
-4.02e-03,-0.43
-4.01e-03,-0.35
-4.00e-03,-0.21
-3.99e-03,-0.29
-3.98e-03,-0.37
-3.97e-03,-0.39
-3.96e-03,-0.49
-3.95e-03,-0.37
-3.94e-03,-0.33
-3.93e-03,-0.39
-3.92e-03,-0.45
-3.91e-03,-0.21
-3.90e-03,-0.37
-3.89e-03,-0.31
-3.88e-03,-0.33
-3.87e-03,-0.33
-3.86e-03,-0.41
-3.85e-03,-0.41
-3.84e-03,-0.35
-3.83e-03,-0.19
-3.82e-03,-0.27
-3.81e-03,-0.39
-3.80e-03,-0.29
-3.79e-03,-0.29
-3.78e-03,-0.37
-3.77e-03,-0.37
-3.76e-03,-0.41
-3.75e-03,-0.27
-3.74e-03,-0.27
-3.73e-03,-0.31
-3.72e-03,-0.41
-3.71e-03,-0.31
-3.70e-03,-0.35
-3.69e-03,-0.35
-3.68e-03,-0.35
-3.67e-03,-0.37
-3.66e-03,-0.27
-3.65e-03,-0.33
-3.64e-03,-0.35
-3.63e-03,-0.27
-3.62e-03,-0.37
-3.61e-03,-0.37
-3.60e-03,-0.37
-3.59e-03,-0.19
-3.58e-03,-0.21
-3.57e-03,-0.39
-3.56e-03,-0.41
-3.55e-03,-0.29
-3.54e-03,-0.31
-3.53e-03,-0.27
-3.52e-03,-0.27
-3.51e-03,-0.31
-3.50e-03,-0.25
-3.49e-03,-0.23
-3.48e-03,-0.15
-3.47e-03,-0.17
-3.46e-03,-0.29
-3.45e-03,-0.25
-3.44e-03,-0.17
-3.43e-03,-0.23
-3.42e-03,-0.31
-3.41e-03,-0.19
-3.40e-03,-0.23
-3.39e-03,-0.15
-3.38e-03,-0.31
-3.37e-03,-0.23
-3.36e-03,-0.35
-3.35e-03,-0.21
-3.34e-03,-0.35
-3.33e-03,-0.19
-3.32e-03,-0.17
-3.31e-03,-0.25
-3.30e-03,-0.27
-3.29e-03,-0.23
-3.28e-03,-0.31
-3.27e-03,-0.05
-3.26e-03,-0.15
-3.25e-03,-0.13
-3.24e-03,-0.13
-3.23e-03,-0.13
-3.22e-03,-0.35
-3.21e-03,-0.03
-3.20e-03,-0.09
-3.19e-03,-0.11
-3.18e-03,-0.09
-3.17e-03,-0.13
-3.16e-03,-0.05
-3.15e-03,-0.07
-3.14e-03,-0.01
-3.13e-03,-0.15
-3.12e-03,-0.11
-3.11e-03,-0.07
-3.10e-03,0.01
-3.09e-03,-0.09
-3.08e-03,-0.01
-3.07e-03,0.03
-3.06e-03,0.11
-3.05e-03,-0.09
-3.04e-03,0.01
-3.03e-03,0.03
-3.02e-03,-0.01
-3.01e-03,0.01
-3.00e-03,0.11
-2.99e-03,0.25
-2.98e-03,-0.05
-2.97e-03,0.15
-2.96e-03,0.01
-2.95e-03,0.11
-2.94e-03,-0.05
-2.93e-03,0.13
-2.92e-03,0.17
-2.91e-03,0.23
-2.90e-03,0.19
-2.89e-03,0.25
-2.88e-03,0.11
-2.87e-03,0.23
-2.86e-03,0.25
-2.85e-03,0.29
-2.84e-03,0.19
-2.83e-03,0.25
-2.82e-03,0.27
-2.81e-03,0.23
-2.80e-03,0.21
-2.79e-03,0.39
-2.78e-03,0.37
-2.77e-03,0.41
-2.76e-03,0.31
-2.75e-03,0.37
-2.74e-03,0.37
-2.73e-03,0.33
-2.72e-03,0.39
-2.71e-03,0.39
-2.70e-03,0.45
-2.69e-03,0.43
-2.68e-03,0.45
-2.67e-03,0.29
-2.66e-03,0.39
-2.65e-03,0.33
-2.64e-03,0.51
-2.63e-03,0.61
-2.62e-03,0.35
-2.61e-03,0.31
-2.60e-03,0.39
-2.59e-03,0.59
-2.58e-03,0.59
-2.57e-03,0.63
-2.56e-03,0.61
-2.55e-03,0.47
-2.54e-03,0.47
-2.53e-03,0.51
-2.52e-03,0.65
-2.51e-03,0.65
-2.50e-03,0.61
-2.49e-03,0.65
-2.48e-03,0.65
-2.47e-03,0.51
-2.46e-03,0.61
-2.45e-03,0.57
-2.44e-03,0.67
-2.43e-03,0.53
-2.42e-03,0.57
-2.41e-03,0.59
-2.40e-03,0.65
-2.39e-03,0.75
-2.38e-03,0.59
-2.37e-03,0.67
-2.36e-03,0.69
-2.35e-03,0.69
-2.34e-03,0.63
-2.33e-03,0.63
-2.32e-03,0.61
-2.31e-03,0.63
-2.30e-03,0.65
-2.29e-03,0.67
-2.28e-03,0.69
-2.27e-03,0.71
-2.26e-03,0.69
-2.25e-03,0.79
-2.24e-03,0.63
-2.23e-03,0.75
-2.22e-03,0.67
-2.21e-03,0.65
-2.20e-03,0.69
-2.19e-03,0.71
-2.18e-03,0.57
-2.17e-03,0.63
-2.16e-03,0.61
-2.15e-03,0.69
-2.14e-03,0.61
-2.13e-03,0.79
-2.12e-03,0.81
-2.11e-03,0.61
-2.10e-03,0.71
-2.09e-03,0.67
-2.08e-03,0.61
-2.07e-03,0.63
-2.06e-03,0.65
-2.05e-03,0.65
-2.04e-03,0.53
-2.03e-03,0.67
-2.02e-03,0.67
-2.01e-03,0.83
-2.00e-03,0.71
-1.99e-03,0.69
-1.98e-03,0.59
-1.97e-03,0.67
-1.96e-03,0.51
-1.95e-03,0.71
-1.94e-03,0.69
-1.93e-03,0.61
-1.92e-03,0.61
-1.91e-03,0.63
-1.90e-03,0.63
-1.89e-03,0.75
-1.88e-03,0.73
-1.87e-03,0.63
-1.86e-03,0.59
-1.85e-03,0.69
-1.84e-03,0.71
-1.83e-03,0.51
-1.82e-03,0.69
-1.81e-03,0.69
-1.80e-03,0.53
-1.79e-03,0.59
-1.78e-03,0.57
-1.77e-03,0.61
-1.76e-03,0.55
-1.75e-03,0.59
-1.74e-03,0.71
-1.73e-03,0.53
-1.72e-03,0.63
-1.71e-03,0.43
-1.70e-03,0.69
-1.69e-03,0.59
-1.68e-03,0.53
-1.67e-03,0.55
-1.66e-03,0.47
-1.65e-03,0.65
-1.64e-03,0.33
-1.63e-03,0.57
-1.62e-03,0.53
-1.61e-03,0.51
-1.60e-03,0.45
-1.59e-03,0.59
-1.58e-03,0.45
-1.57e-03,0.37
-1.56e-03,0.35
-1.55e-03,0.37
-1.54e-03,0.43
-1.53e-03,0.33
-1.52e-03,0.33
-1.51e-03,0.41
-1.50e-03,0.25
-1.49e-03,0.47
-1.48e-03,0.23
-1.47e-03,0.41
-1.46e-03,0.37
-1.45e-03,0.41
-1.44e-03,0.35
-1.43e-03,0.33
-1.42e-03,0.39
-1.41e-03,0.35
-1.40e-03,0.25
-1.39e-03,0.21
-1.38e-03,0.29
-1.37e-03,0.29
-1.36e-03,0.23
-1.35e-03,0.31
-1.34e-03,0.05
-1.33e-03,0.15
-1.32e-03,0.21
-1.31e-03,0.13
-1.30e-03,0.29
-1.29e-03,0.19
-1.28e-03,0.05
-1.27e-03,0.17
-1.26e-03,0.15
-1.25e-03,0.01
-1.24e-03,0.07
-1.23e-03,0.09
-1.22e-03,-0.01
-1.21e-03,0.13
-1.20e-03,0.01
-1.19e-03,0.03
-1.18e-03,0.03
-1.17e-03,-0.03
-1.16e-03,0.09
-1.15e-03,0.03
-1.14e-03,-0.09
-1.13e-03,-0.01
-1.12e-03,0.01
-1.11e-03,0.05
-1.10e-03,-0.01
-1.09e-03,0.01
-1.08e-03,-0.11
-1.07e-03,-0.09
-1.06e-03,0.01
-1.05e-03,0.03
-1.04e-03,-0.03
-1.03e-03,-0.17
-1.02e-03,-0.15
-1.01e-03,-0.15
-1.00e-03,-0.05
-9.90e-04,-0.15
-9.80e-04,-0.09
-9.70e-04,-0.05
-9.60e-04,-0.01
-9.50e-04,-0.19
-9.40e-04,0.03
-9.30e-04,-0.13
-9.20e-04,-0.15
-9.10e-04,-0.13
-9.00e-04,-0.31
-8.90e-04,-0.15
-8.80e-04,-0.15
-8.70e-04,-0.27
-8.60e-04,-0.13
-8.50e-04,-0.21
-8.40e-04,-0.35
-8.30e-04,-0.19
-8.20e-04,-0.05
-8.10e-04,-0.31
-8.00e-04,-0.35
-7.90e-04,-0.27
-7.80e-04,-0.31
-7.70e-04,-0.17
-7.60e-04,-0.17
-7.50e-04,-0.23
-7.40e-04,-0.15
-7.30e-04,-0.19
-7.20e-04,-0.27
-7.10e-04,-0.13
-7.00e-04,-0.19
-6.90e-04,-0.21
-6.80e-04,-0.27
-6.70e-04,-0.25
-6.60e-04,-0.33
-6.50e-04,-0.23
-6.40e-04,-0.23
-6.30e-04,-0.29
-6.20e-04,-0.31
-6.10e-04,-0.41
-6.00e-04,-0.17
-5.90e-04,-0.37
-5.80e-04,-0.41
-5.70e-04,-0.21
-5.60e-04,-0.23
-5.50e-04,-0.25
-5.40e-04,-0.33
-5.30e-04,-0.33
-5.20e-04,-0.31
-5.10e-04,-0.31
-5.00e-04,-0.25
-4.90e-04,-0.19
-4.80e-04,-0.23
-4.70e-04,-0.29
-4.60e-04,-0.39
-4.50e-04,-0.31
-4.40e-04,-0.39
-4.30e-04,-0.35
-4.20e-04,-0.41
-4.10e-04,-0.19
-4.00e-04,-0.47
-3.90e-04,-0.33
-3.80e-04,-0.33
-3.70e-04,-0.19
-3.60e-04,-0.33
-3.50e-04,-0.15
-3.40e-04,-0.39
-3.30e-04,-0.29
-3.20e-04,-0.23
-3.10e-04,-0.25
-3.00e-04,-0.25
-2.90e-04,-0.33
-2.80e-04,-0.29
-2.70e-04,-0.25
-2.60e-04,-0.19
-2.50e-04,-0.23
